pathway	cells	BTO	treatment	effect	time	comment	GSE	norm	GPL
GSE13837r	TNFa	synovial fibroblasts, female, age 67, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	4 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE1474a	TNFa	CaCo-2 (Colon cell line)	BTO:0000195	treated with TNFa	activating	4 h	3 replicates each	GSE1474	nolog	GPL96
GSE1474b	TNFa	T84	BTO:0002032	treated with TNFa	activating	4 h	3 replicates each	GSE1474	nolog	GPL96
GSE1541a	TNFa	A549 (Alveolar Epithelial Cells line)	BTO:0000018	treated with TNFa 20 ng/ml	activating	1 h	NA	GSE1541	log	GPL201
GSE1541b	TNFa	A549 (Alveolar Epithelial Cells line)	BTO:0000018	treated with TNFa 20 ng/ml	activating	4 h	NA	GSE1541	log	GPL201
GSE16251aTNFa	TNFa	primary PBMCs	BTO:0001025	treated with TNFa	activating	0.5 h	1 replicate each, part of timeseries, timerespective control	GSE16251	log	GPL8601
GSE16251bTNFa	TNFa	primary PBMCs	BTO:0001025	treated with TNFa	activating	1 h	1 replicate each, part of timeseries, timerespective control	GSE16251	log	GPL8601
GSE16251cTNFa	TNFa	primary PBMCs	BTO:0001025	treated with TNFa	activating	4 h	1 replicate each, part of timeseries, timerespective control	GSE16251	log	GPL8601
GSE16650	TNFa	Beas-B2 (Human Bronchial Epithelial Cells)	BTO:0002923	treated with TNFa 20 ng/ml	activating	4 h	2 replicates each	GSE16650	nolog	GPL570
GSE21727TNFa	TNFa	trabecular bone cells	BTO:0001700	treated with TNFa	activating	2 h	3 replicates each, timerespective control	GSE21727	normalized	GPL6104
GSE22807	TNFa	DU145 prostate cancer cells	BTO:0001332	treated with 10 ng/ml TNFa	activating	1.5 h	2 replicates each	GSE22807	none	GPL6244
GSE2489a	TNFa	Epidermis Keratinocytes	BTO:0000667	treated with TNFa	activating	1 h	NA	GSE2489	log	GPL8300
GSE2489b	TNFa	Epidermis Keratinocytes	BTO:0000667	treated with TNFa	activating	4 h	NA	GSE2489	log	GPL8300
GSE2624a	TNFa	human cervical epithelioid carcinoma cell line HeLa expressing tTA pBI-EGFP- IkBa Mut	BTO:0000567	treated with TNFa 25ng/ml and Doxycyline (2 mg/ml) to take IKB-inhibition away	activating	1 h	mutant cell line	GSE2624	log	GPL8300
GSE2624b	TNFa	human cervical epithelioid carcinoma cell line HeLa expressing tTA pBI-EGFP- IkBa Mut	BTO:0000567	treated with TNFa 25ng/ml and Doxycyline (2 mg/ml) to take IKB-inhibition away	activating	3 h	mutant cell line	GSE2624	log	GPL8300
GSE2638	TNFa	HMECs	BTO:0002178	treated with 2ng/ml TNFa	activating	5 h	3 replicates each	GSE2638	none	GPL96
GSE2639	TNFa	HUVECs	BTO:0001949	treated with 2ng/ml TNFa	activating	5 h	4 replicates each	GSE2639	none	GPL96
GSE26868a	TNFa	HeLa cells	BTO:0000567	treated with 10 ng/ml TNFa	activating	2 h	2 replicates each, comparison 2 cell lines	GSE26868	log	GPL570
GSE26868b	TNFa	THP1 cells	BTO:0001370	treated with 10 ng/ml TNFa	activating	2 h	3 replicates each, comparison 2 cell lines	GSE26868	log	GPL570
GSE27870a	TNFa	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 10ng/ml TNFa	activating	1 h	3 replicates each, part of timeseries (1, 1.5, 2, 3, 4, 5, 6 h)	GSE27870	medianscaled	GPL4044
GSE27870b	TNFa	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 10ng/ml TNFa	activating	1.5 h	3 replicates each, part of timeseries (1, 1.5, 2, 3, 4, 5, 6 h)	GSE27870	medianscaled	GPL4044
GSE27870c	TNFa	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 10ng/ml TNFa	activating	2 h	3 replicates each, part of timeseries (1, 1.5, 2, 3, 4, 5, 6 h)	GSE27870	medianscaled	GPL4044
GSE27870d	TNFa	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 10ng/ml TNFa	activating	3 h	3 replicates each, part of timeseries (1, 1.5, 2, 3, 4, 5, 6 h)	GSE27870	medianscaled	GPL4044
GSE27870e	TNFa	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 10ng/ml TNFa	activating	4 h	3 replicates each, part of timeseries (1, 1.5, 2, 3, 4, 5, 6 h)	GSE27870	medianscaled	GPL4044
GSE27870f	TNFa	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 10ng/ml TNFa	activating	5 h	3 replicates each, part of timeseries (1, 1.5, 2, 3, 4, 5, 6 h)	GSE27870	medianscaled	GPL4044
GSE27870g	TNFa	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 10ng/ml TNFa	activating	6 h	3 replicates each, part of timeseries (1, 1.5, 2, 3, 4, 5, 6 h)	GSE27870	medianscaled	GPL4044
GSE28548	TNFa	HEK293 cells	BTO:0000007	treated with TNFa	activating	1 h	3 replicates each	GSE28548	normalized	GPL570
GSE516	TNFa	human arthritic synoviocytes	BTO:0004060	treated with TNFa	activating	4 h	NA	GSE516	log	GPL8300
GSE8166	TNFa	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treated with TNFa 1ng/ml cultured in M199 medium	activating	3 h	NA	GSE8166	log	GPL570
GSE9055a	TNFa	HUVEC (Human umbilical vein cells)	BTO:0001949	treated with TNFa 10 ng/ml after 18 h serum starvation	activating	0.5 h	timeseries every 15 min until 8 h	GSE9055	log	GPL570
GSE9055b	TNFa	HUVEC (Human umbilical vein cells)	BTO:0001949	treated with TNFa 10 ng/ml after 18 h serum starvation	activating	1 h	timeseries every 15 min until 8 h	GSE9055	log	GPL570
GSE9055c	TNFa	HUVEC (Human umbilical vein cells)	BTO:0001949	treated with TNFa 10 ng/ml after 18 h serum starvation	activating	2 h	timeseries every 15 min until 8 h	GSE9055	log	GPL570
GSE9055d	TNFa	HUVEC (Human umbilical vein cells)	BTO:0001949	treated with TNFa 10 ng/ml after 18 h serum starvation	activating	4 h	timeseries every 15 min until 8 h	GSE9055	log	GPL570
GSE32441a	Trail	HT1080 fibrosarcoma cells	BTO:0001282	treated with 50 ng/ml TRAIL	activating	6 h	1 replicate each, control and treated cells were additionally treated with 0.25 µg/ml doxorubicin	GSE32441	none	GPL4133
GSE32441b	Trail	HT1080 fibrosarcoma cells	BTO:0001282	treated with 50 ng/ml TRAIL	activating	6 h	1 replicate each, control and treated cells were additionally treated with 4 µg/ml trabectedin	GSE32441	none	GPL4133
GSE32441c	Trail	HT1080 fibrosarcoma cells	BTO:0001282	treated with 50 ng/ml TRAIL	activating	6 h	1 replicate each, control and treated cells were additionally treated with 1.5 µg/ml mafosfamide	GSE32441	none	GPL4133
GSE8346	Trail	T4-2 breat epithelial cells	BTO:0001211	treated with 1 µg/ml TRAIL	activating	4 h	4 replicates each, contain control vector, 3D culture	GSE8346	none	GPL571
GSE10778aVEGF	VEGF	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 100ng VEGF	activating	30 min	timeseries (0.5, 1, 2.5, 6 h), 2 Chips HG-U133A and B	GSE10778	log	GPL96
GSE10778bVEGF	VEGF	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 100ng VEGF	activating	1 h	timeseries (0.5, 1, 2.5, 6 h), 2 Chips HG-U133A and B	GSE10778	log	GPL96
GSE10778cVEGF	VEGF	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 100ng VEGF	activating	2.5 h	timeseries (0.5, 1, 2.5, 6 h), 2 Chips HG-U133A and B	GSE10778	log	GPL96
GSE10778d	VEGF	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 100ng VEGF	activating	30 min	timeseries (0.5, 1, 2.5, 6 h), 2 Chips HG-U133A and B	GSE10778	log	GPL97
GSE10778e	VEGF	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 100ng VEGF	activating	1 h	timeseries (0.5, 1, 2.5, 6 h), 2 Chips HG-U133A and B	GSE10778	log	GPL97
GSE10778f	VEGF	HUVEC (human umbilical vein endothelial cells)	BTO:0001949	treatment with 100ng VEGF	activating	2.5 h	timeseries (0.5, 1, 2.5, 6 h), 2 Chips HG-U133A and B	GSE10778	log	GPL97
GSE11228a	VEGF	LEC (Human dermal lymphatic endothelial cells)	BTO:0004167	treatment with VEGF-A165 (20ng/ml)	activating	1 h	timeseries (1, 4, 8, 24 h)	GSE11228	nolog	GPL2986
GSE11228b	VEGF	LEC (Human dermal lymphatic endothelial cells)	BTO:0004167	treatment with VEGF-A165 (20 ng/ml)	activating	4 h	timeseries (1, 4, 8, 24 h)	GSE11228	nolog	GPL2986
GSE11228c	VEGF	LEC (Human dermal lymphatic endothelial cells)	BTO:0004167	treatment with VEGF-C (500 ng/ml)	activating	1 h	timeseries (1, 4, 8, 24 h)	GSE11228	nolog	GPL2986
GSE11228d	VEGF	LEC (Human dermal lymphatic endothelial cells)	BTO:0004167	treatment with VEGF-C (500 ng/ml)	activating	4 h	timeseries (1, 4, 8, 24 h)	GSE11228	nolog	GPL2986
GSE15464a	VEGF	HUVECs	BTO:0001949	treated with 100ng/ml VEGF-A165	activating	30 min	1 replicate, part of timeseries	GSE15464	normalized	GPL570
GSE15464b	VEGF	HUVECs	BTO:0001949	treated with 100ng/ml VEGF-A165	activating	60 min	1 replicate, part of timeseries	GSE15464	normalized	GPL570
GSE15464c	VEGF	HUVECs	BTO:0001949	treated with 100ng/ml VEGF-A165	activating	150 min	1 replicate, part of timeseries	GSE15464	normalized	GPL570
GSE17777	VEGF	HMVECs	BTO:0002828	treated with 100pg/ml VEGF	activating	4 h	1 replicate	GSE17777	none	GPL570
GSE18913a	VEGF	HUVECs	BTO:0001949	treated with VEGF	activating	1 h	3 replicates, part of timeseries	GSE18913	none	GPL570
GSE18913b	VEGF	HUVECs	BTO:0001949	treated with VEGF	activating	4 h	3 replicates, part of timeseries	GSE18913	none	GPL570
GSE19335	VEGF	HUVECs	BTO:0001949	treated with 50ng/ml VEGF	activating	30 min	2 replicates	GSE19335	log	GPL6947
GSE3891a	VEGF	HMVEC (Human microvascular endothelial cells)	BTO:0002828	VEGF treatment	activating	30 min	timeseries 30 min, 1, 2, 4 h (same Experiments for 2 Chips HG-U133 A and B)	GSE3891	log	GPL96
GSE3891b	VEGF	HMVEC (Human microvascular endothelial cells)	BTO:0002828	VEGF treatment	activating	1 h	timeseries 30 min, 1, 2, 4 h (same Experiments for 2 Chips HG-U133 A and B)	GSE3891	log	GPL96
GSE3891c	VEGF	HMVEC (Human microvascular endothelial cells)	BTO:0002828	VEGF treatment	activating	2 h	timeseries 30 min, 1, 2, 4 h (same Experiments for 2 Chips HG-U133 A and B)	GSE3891	log	GPL96
GSE3891d	VEGF	HMVEC (Human microvascular endothelial cells)	BTO:0002828	VEGF treatment	activating	4 h	timeseries 30 min, 1, 2, 4 h (same Experiments for 2 Chips HG-U133 A and B)	GSE3891	log	GPL96
GSE3891e	VEGF	HMVEC (Human microvascular endothelial cells)	BTO:0002828	VEGF treatment	activating	30 min	timeseries 30 min, 1, 2, 4 h (same Experiments for 2 Chips HG-U133 A and B)	GSE3891	log	GPL97
GSE3891f	VEGF	HMVEC (Human microvascular endothelial cells)	BTO:0002828	VEGF treatment	activating	1 h	timeseries 30 min, 1, 2, 4 h (same Experiments for 2 Chips HG-U133 A and B)	GSE3891	log	GPL97
GSE3891g	VEGF	HMVEC (Human microvascular endothelial cells)	BTO:0002828	VEGF treatment	activating	2 h	timeseries 30 min, 1, 2, 4 h (same Experiments for 2 Chips HG-U133 A and B)	GSE3891	log	GPL97
GSE3891h	VEGF	HMVEC (Human microvascular endothelial cells)	BTO:0002828	VEGF treatment	activating	4 h	timeseries 30 min, 1, 2, 4 h (same Experiments for 2 Chips HG-U133 A and B)	GSE3891	log	GPL97
GSE837a	VEGF	HUVECs	BTO:0001949	treated with VEGF	activating	4 h	1 replicate, part of 3 different isolates	GSE837	none	GPL91
GSE837b	VEGF	HUVECs	BTO:0001949	treated with VEGF	activating	4 h	1 replicate, part of 3 different isolates	GSE837	none	GPL91
GSE837c	VEGF	HUVECs	BTO:0001949	treated with VEGF	activating	4 h	1 replicate, part of 3 different isolates	GSE837	none	GPL91
GSE11916	Wnt	Huh7 (hepatocellular carcinoma derived)	BTO:0001950	High TCF activity Huh7 cell line was compared to control Huh7 cell line (TCF the crucial transcription factor for Wnt)	activating	not specified	constitutive activation	GSE11916	log	GPL570
GSE14107a	Wnt	parental PC9 (Lung adenocarcinoma cell line)	BTO:0005518	Wnt3a stimulation after serum starvation (0.2 %)	activating	3 h	NA	GSE14107	log	GPL571
GSE14107b	Wnt	parental H2030 (Lung adenocarcinoma cell line)	BTO:0001911	Wnt3a stimulation after serum starvation (0.2 %)	activating	3 h	NA	GSE14107	log	GPL571
GSE1473	Wnt	HEK293 (kidney cell)	BTO:0000007	infected with RCAS-beta-cateninS37A or RCAS-GFP	activating	not specified	late and early response expected	GSE1473	log	GPL96
GSE17385	Wnt	Multiple myeloma line MM1.S	BTO:0003933	cells lentivirally infected with control shRNA or beta-catenin shRNA vectors	inhibiting	not specified	inhibition	GSE17385	nolog	GPL570
GSE24708	Wnt	HEK293, transfected with siControl plasmid	BTO:0000007	treated with Wnt3a	activating	7 h	2 replicates each	GSE24708	none	GPL10191
GSE26351	Wnt	mobilized periphal blood CD34+ cells	BTO:0003494	0.5 µM BIO (GSK3 inhibitor)	activating	2 h	3 replicates, BIO activates WNT pathway	GSE26351	none	GPL570
GSE27313	Wnt	mesenchymal stem cells	BTO:0003298	treated with Wnt3a	activating	6 h	1 replicate each	GSE27313	none	GPL570
GSE10778a	both	human umbilical vein endothelial cells (HUVEC)	BTO:0001949	Treatment with EGF	activating	0.5 h	timeseries 30 min, 1 h, 2.5 h 6 h / same with VEGF	GSE10778	log	GPL96
GSE10778b	both	human umbilical vein endothelial cells (HUVEC)	BTO:0001949	Treatment with EGF	activating	1 h	timeseries 30 min, 1 h, 2.5 h 6 h / same with VEGF	GSE10778	log	GPL96
GSE10778c	both	human umbilical vein endothelial cells (HUVEC)	BTO:0001949	Treatment with EGF	activating	2.5 h	timeseries 30 min, 1 h, 2.5 h 6 h / same with VEGF	GSE10778	log	GPL96
GSE11729a	both	H1299 human non-small cell lung cancer cells	BTO:0002552	Treatment with EGF	activating	0.5 h	timeseries: 30 min, 1, 2, 4, 6 and 10 h	GSE11729	nolog	GPL570
GSE11729b	both	H1299 human non-small cell lung cancer cells	BTO:0002552	Treatment with EGF	activating	1 h	timeseries: 30 min, 1, 2, 4, 6 and 10 h	GSE11729	nolog	GPL570
GSE11729c	both	H1299 human non-small cell lung cancer cells	BTO:0002552	Treatment with EGF	activating	2 h	timeseries: 30 min, 1, 2, 4, 6 and 10 h	GSE11729	nolog	GPL570
GSE11729d	both	H1299 human non-small cell lung cancer cells	BTO:0002552	Treatment with EGF	activating	4 h	timeseries: 30 min, 1, 2, 4, 6 and 10 h	GSE11729	nolog	GPL570
GSE11729e	both	H1299 human non-small cell lung cancer cells	BTO:0002552	Treatment with EGF	activating	6 h	timeseries: 30 min, 1, 2, 4, 6 and 10 h	GSE11729	nolog	GPL570
GSE12764b	both	MCF10A cells	BTO:0001939	transfected with HRAS(G12V)	activating	24 h	3 replicates each, probably activating PI3K and MAPKs	GSE12764	none	GPL570
GSE13009a	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with EGF	activating	0.5 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009b	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with EGF	activating	1 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009c	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with EGF	activating	2 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009d	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with EGF	activating	4 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009e	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with HRG	activating	0.5 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009f	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with HRG	activating	1 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009g	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with HRG	activating	2 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009h	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with HRG	activating	4 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009i	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with EGF	activating	6 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13009j	both	MCF7 human breast cancer cells	BTO:0000093	Treatment with HRG	activating	6 h	timeseries: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSE13009	log	GPL571
GSE13168a	both	airway smooth muscle cells	BTO:0001660	treated with EGF	activating	8 h	1 replicate each, contain control vector, 4 donors	GSE13168	normalized	GPL96
GSE13168b	both	airway smooth muscle cells	BTO:0001660	treated with EGF	activating	8 h	1 replicate each, contain control vector, 4 donors	GSE13168	normalized	GPL96
GSE13168c	both	airway smooth muscle cells	BTO:0001660	treated with EGF	activating	8 h	1 replicate each, contain control vector, 4 donors	GSE13168	normalized	GPL96
GSE13168d	both	airway smooth muscle cells	BTO:0001660	treated with EGF	activating	8 h	1 replicate each, contain control vector, 4 donors	GSE13168	normalized	GPL96
GSE14256a	both	Human foreskin fibroblasts (AG01518)	BTO:0001113	Treatment with platelet-derived growth factor-BB (PDGF-BB)	activating	1 h	NA	GSE14256	log	GPL571
GSE14256b	both	Human foreskin fibroblasts (AG01518)	BTO:0001113	Treatment with bFGF (basic fibroblast growth factor)	activating	1 h	NA	GSE14256	log	GPL571
GSE14934a	both	HEK-HT (kidney)	BTO:0000007	Ras (G12V) activation mutants	activating	not specified	NA	GSE14934	log	GPL571
GSE20277	both	HeLa cells	BTO:0000567	treated with EGF	activating	0.66 h	3 replicates each	GSE20277	log	GPL6480
GSE33710	both	WI-38 cells	BTO:0003066	RASv12 overexpression	activating	not indicated	3 replicates each	GSE33710	none	GPL96
GSE3542a	both	MCF-7 (breast cancer cells)	BTO:0000093	co-transfected with constituitively active erbB-2	activating	not specified	two controls empty vector control taken	GSE3542	nolog	GPL96
GSE3542d	both	MCF-7 (breast cancer cells)	BTO:0000093	co-transfected with ligand-inducible EGFR	activating	not specified	two controls empty vector control taken	GSE3542	nolog	GPL96
GSE6462a	both	MCF-7 (human breast cancer)	BTO:0000093	treatment with EGF (10nm)	activating	0.75 h	timeseries	GSE6462	log	GPL571
GSE6462b	both	MCF-7 (human breast cancer)	BTO:0000093	treatment with EGF (10nm)	activating	1.5 h	timeseries	GSE6462	log	GPL571
GSE6462c	both	MCF-7 (human breast cancer)	BTO:0000093	treatment with 10 nm HRG= heregulin Erb3/4 Ligand	activating	0.75 h	timeseries	GSE6462	log	GPL571
GSE6462d	both	MCF-7 (human breast cancer)	BTO:0000093	treatment with 10 nm HRG= heregulin Erb3/4 Ligand	activating	1.5 h	timeseries	GSE6462	log	GPL571
GSE6521d	both	MCF-7 breast cancer cells	BTO:0000093	Treatment with HRG (heregulin ErbB3 Ligand)	activating	0.75 h	NA	GSE6521	log	GPL570
GSE6521e	both	MCF-7 breast cancer cells	BTO:0000093	Treatment with HRG (heregulin ErbB3 Ligand)	activating	1.5 h	NA	GSE6521	log	GPL570
GSE6783a	both	HELA (Human cervical carcinoma cell line)	BTO:0000567	EGF treatment after 24 h serum starvation (Control 0 h)	activating	0.33 h	timeseries with 20, 40, 60, 120, 240, 480 min	GSE6783	log	GPL96
GSE6783b	both	HELA (Human cervical carcinoma cell line)	BTO:0000567	EGF treatment after 24 h serum starvation (Control 0 h)	activating	1 h	timeseries with 20, 40, 60, 120, 240, 480 min	GSE6783	log	GPL96
GSE6783c	both	HELA (Human cervical carcinoma cell line)	BTO:0000567	EGF treatment after 24 h serum starvation (Control 0 h)	activating	2 h	timeseries with 20, 40, 60, 120, 240, 480 min	GSE6783	log	GPL96
GSE6783d	both	HELA (Human cervical carcinoma cell line)	BTO:0000567	EGF treatment after 24 h serum starvation (Control 0 h)	activating	4 h	timeseries with 20, 40, 60, 120, 240, 480 min	GSE6783	log	GPL96
GSE6784a	both	MCF-10A (mammary epithelial cell line)	BTO:0001939	EGF treatment after 24 h serum starvation (Control 0 h)	activating	0.33 h	timeseries with 20, 40, 60, 120, 240, 480 min	GSE6784	log	GPL571
GSE6784b	both	MCF-10A (mammary epithelial cell line)	BTO:0001939	EGF treatment after 24 h serum starvation (Control 0 h)	activating	1 h	timeseries with 20, 40, 60, 120, 240, 480 min	GSE6784	log	GPL571
GSE6784c	both	MCF-10A (mammary epithelial cell line)	BTO:0001939	EGF treatment after 24 h serum starvation (Control 0 h)	activating	2 h	timeseries with 20, 40, 60, 120, 240, 480 min	GSE6784	log	GPL571
GSE6784d	both	MCF-10A (mammary epithelial cell line)	BTO:0001939	EGF treatment after 24 h serum starvation (Control 0 h)	activating	4 h	timeseries with 20, 40, 60, 120, 240, 480 min	GSE6784	log	GPL571
GSE7403a	both	SH-SY5Y (Neuroblastoma cells)	BTO:0000793	PDGF treatment with 60 min prior DMSO treatment	activating	0.5 h	timeseries with 30, 60, 120, 240 min	GSE7403	log	GPL96
GSE7403c	both	SH-SY5Y (Neuroblastoma cells)	BTO:0000793	PDGF treatment with 60 min prior DMSO treatment	activating	1 h	timeseries with 30, 60, 120, 240 min	GSE7403	log	GPL96
GSE7403e	both	SH-SY5Y (Neuroblastoma cells)	BTO:0000793	PDGF treatment with 60 min prior DMSO treatment	activating	2 h	timeseries with 30, 60, 120, 240 min	GSE7403	log	GPL96
GSE7403g	both	SH-SY5Y (Neuroblastoma cells)	BTO:0000793	PDGF treatment with 60 min prior DMSO treatment	activating	4 h	timeseries with 30, 60, 120, 240 min	GSE7403	log	GPL96
GSE8471	both	MCF7	BTO:0000093	HRG stimulated (ErbB Ligand)	activating	2 h after stimulation	NA	GSE8471	log	GPL570
GSE12355	notch	EREB2-5 B cell line	BTO:0000739	transfected with Notch1 intracellular domain	activating	8 h	3 replicates each	GSE12355	none	GPL570
GSE29544a	notch	CUTLL1 cells	BTO:0002144	treated with washout of GSI inhibitor	activating	2 h	3 replicates each, treatment after 3 days treatment with GSI, GSI= gamma secretase inhibitor	GSE29544	none	GPL570
GSE29544b	notch	CUTLL1 cells	BTO:0002144	treated with washout of GSI inhibitor	activating	4 h	3 replicates each, treatment after 3 days treatment with GSI, GSI= gamma secretase inhibitor	GSE29544	none	GPL570
GSE36176a	notch	A549 cells	BTO:0000018	treated with 2µM GSI RO4929097	inhibiting	6 h	4 replicates each, different cell lines, GSI= gamma secretase inhibitor	GSE36176	none	GPL570
GSE36176b	notch	H460 cells	BTO:0002207	treated with 2µM GSI RO4929097	inhibiting	6 h	4 replicates each, different cell lines, GSI= gamma secretase inhibitor	GSE36176	none	GPL570
GSE12666a	p53	MCF7 cells	BTO:0000093	treated with 10 µM BMH-7, p53 activator	activating	6 h	4 replicates each, lead compounds - mechanism of action unknown	GSE12666	normalized	GPL571
GSE12666b	p53	MCF7 cells	BTO:0000093	treated with 10 µM BMH-9, p53 activator	activating	6 h	4 replicates each, lead compounds - mechanism of action unknown	GSE12666	normalized	GPL571
GSE12666c	p53	MCF7 cells	BTO:0000093	treated with 10 µM BMH-15, p53 activator	activating	6 h	4 replicates each, lead compounds - mechanism of action unknown	GSE12666	normalized	GPL571
GSE12666d	p53	MCF7 cells	BTO:0000093	treated with 10 µM BMH-21, p53 activator	activating	6 h	4 replicates each, lead compounds - mechanism of action unknown	GSE12666	normalized	GPL571
GSE12666e	p53	MCF7 cells	BTO:0000093	treated with 10 µM BMH-22, p53 activator	activating	6 h	4 replicates each, lead compounds - mechanism of action unknown	GSE12666	normalized	GPL571
GSE12666f	p53	MCF7 cells	BTO:0000093	treated with 10 µM BMH-23, p53 activator	activating	6 h	4 replicates each, lead compounds - mechanism of action unknown	GSE12666	normalized	GPL571
GSE13291	p53	MCF7 cells	BTO:0000093	treated with 1 µM RITA, p53 activator	activating	2 h	1 replicate each, RITA inhibits HDM2-p53 interaction	GSE13291	none	GPL571
GSE2238	p53	HT1080 fibrosarcoma cells	BTO:0001282	treated with doxorubicin	activating	6 h	1 replicate each	GSE2238	none	GPL96
GSE23010	p53	U2OS cells	BTO:0001938	treated with 5 GY X-Ray irradiation	activating	4 h	3 replicates each, cells transfected with control sh RNA	GSE23010	normalized	GPL6884
GSE30240a	p53	G361 cells	BTO:0001584	treated with 5 GY X-Ray irradiation	activating	3 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240b	p53	G361 cells	BTO:0001584	treated with 5 GY X-Ray irradiation	activating	6 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240c	p53	HepG2 cells	BTO:0000599	treated with 5 GY X-Ray irradiation	activating	3 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240d	p53	HepG2 cells	BTO:0000599	treated with 5 GY X-Ray irradiation	activating	6 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240e	p53	TK6 cells	BTO:0003707	treated with 5 GY X-Ray irradiation	activating	3 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240f	p53	TK6 cells	BTO:0003707	treated with 5 GY X-Ray irradiation	activating	6 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240g	p53	U2OS cells	BTO:0001938	treated with 5 GY X-Ray irradiation	activating	3 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240h	p53	U2OS cells	BTO:0001938	treated with 5 GY X-Ray irradiation	activating	6 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240i	p53	BJ cells	BTO:0003807	treated with 5 GY X-Ray irradiation	activating	3 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE30240j	p53	BJ cells	BTO:0003807	treated with 5 GY X-Ray irradiation	activating	6 h	3 replicates each, part of timeseries, timerespective control, 5 different tissues	GSE30240	none	GPL570
GSE32441	p53	HT1080 fibrosarcoma cells	BTO:0001282	treated with 0.25 µg/ml doxorubicin	activating	6 h	1 replicate each	GSE32441	none	GPL4133
GSE8939a	p53	CS-B wt rescued cells	BTO:0001489	treated with 10 J/m2 UVC irradiation	activating	2 h	3 replicates each, 2 arrays per sample	GSE8939	none	GPL96
GSE8939b	p53	CS-B wt rescued cells	BTO:0001489	treated with 10 J/m2 UVC irradiation	activating	2 h	3 replicates each, 2 arrays per sample	GSE8939	none	GPL97
